,student_id,age,gender,school_type,parent_education,study_hours,attendance_percentage,internet_access,travel_time,extra_activities,study_method,math_score,science_score,english_score,overall_score,final_grade
10455,10456,14,female,private,diploma,0.8,74.6,no,30-60 min,no,online videos,47.4,51.4,33.5,45.0,e
10456,10457,16,female,public,no formal,4.5,73.4,yes,>60 min,no,textbook,83.6,82.9,67.4,75.0,c
10457,10458,15,female,public,post graduate,1.5,77.0,yes,15-30 min,no,notes,55.9,58.8,46.8,49.6,e
10458,10459,14,other,public,no formal,6.8,92.9,yes,30-60 min,yes,online videos,79.8,94.2,88.2,93.6,b
10459,10460,15,female,public,no formal,6.1,53.7,no,<15 min,no,textbook,72.3,75.4,53.8,66.9,d
10460,10461,19,male,private,post graduate,2.6,69.4,yes,15-30 min,yes,online videos,57.0,21.9,40.9,50.2,e
10461,10462,18,other,public,phd,4.5,87.5,yes,15-30 min,yes,mixed,70.5,77.0,91.0,75.5,c
10462,10463,14,female,private,phd,4.8,98.2,yes,30-60 min,no,coaching,87.9,82.3,66.2,75.6,c
10463,10464,19,male,private,phd,5.5,57.7,yes,<15 min,no,textbook,61.0,56.6,74.8,67.4,d
10464,10465,15,female,private,no formal,3.6,52.2,yes,<15 min,no,notes,60.3,61.2,44.6,49.7,e
10465,10466,16,male,private,diploma,5.4,90.3,yes,<15 min,yes,notes,90.7,63.3,86.3,84.8,c
10466,10467,15,female,public,post graduate,1.8,98.5,yes,30-60 min,yes,textbook,44.3,27.8,41.9,46.0,e
10467,10468,16,other,private,high school,4.0,85.7,yes,15-30 min,no,textbook,63.1,73.6,67.4,73.1,c
10468,10469,18,male,public,post graduate,1.2,77.7,yes,<15 min,yes,notes,32.9,13.2,36.0,38.7,f
10469,10470,18,other,public,phd,7.6,61.7,yes,>60 min,yes,notes,80.5,87.6,100.0,87.2,b
10470,10471,17,other,private,phd,3.5,97.9,yes,30-60 min,no,mixed,75.7,70.7,56.5,57.6,d
10471,10472,17,other,private,post graduate,5.1,86.1,yes,30-60 min,no,mixed,84.8,73.9,73.3,74.0,c
10472,10473,18,female,private,post graduate,4.2,84.7,yes,30-60 min,yes,notes,78.4,61.1,71.3,68.4,d
10473,10474,15,male,public,graduate,0.7,94.1,no,15-30 min,no,textbook,51.0,57.8,63.4,47.8,e
10474,10475,16,male,public,no formal,1.0,93.8,yes,<15 min,yes,textbook,40.1,22.9,42.5,45.1,e
10475,10476,14,other,private,diploma,2.5,54.0,yes,<15 min,no,coaching,50.3,47.3,37.4,42.9,e
10476,10477,18,female,private,phd,5.6,51.0,no,>60 min,no,group study,59.2,68.1,62.6,68.4,d
10477,10478,16,female,private,phd,5.3,61.1,yes,15-30 min,yes,mixed,83.7,53.1,71.6,68.5,d
10478,10479,17,other,public,high school,1.9,95.5,yes,>60 min,no,coaching,43.3,54.3,48.6,58.5,d
10479,10480,17,other,private,post graduate,4.2,76.7,yes,15-30 min,yes,coaching,59.0,69.9,58.0,69.6,d
10480,10481,15,other,private,high school,3.3,82.4,yes,15-30 min,no,online videos,65.2,61.6,54.2,58.9,d
10481,10482,14,other,private,diploma,4.8,67.3,yes,>60 min,yes,textbook,68.0,89.1,72.9,71.0,c
10482,10483,19,other,private,graduate,3.0,71.2,yes,30-60 min,yes,mixed,62.2,47.6,40.3,50.0,e
10483,10484,15,male,public,diploma,7.2,65.0,yes,30-60 min,yes,online videos,100.0,88.4,100.0,91.6,b
10484,10485,14,male,private,graduate,4.0,97.0,yes,30-60 min,yes,online videos,41.7,60.1,73.1,66.2,d
10485,10486,15,male,public,no formal,3.7,70.6,yes,>60 min,no,mixed,42.5,43.9,53.1,50.9,e
10486,10487,19,female,private,high school,5.8,91.8,yes,15-30 min,yes,online videos,73.4,100.0,91.3,82.0,c
10487,10488,15,female,private,post graduate,6.4,57.8,yes,15-30 min,yes,notes,74.7,76.4,66.5,65.9,d
10488,10489,19,other,public,graduate,3.8,65.9,yes,>60 min,yes,textbook,48.7,48.0,79.7,62.7,d
10489,10490,16,other,private,phd,1.3,59.1,yes,<15 min,no,online videos,13.3,39.9,27.0,37.5,f
10490,10491,19,other,private,phd,1.1,64.7,yes,<15 min,yes,notes,33.4,38.9,26.3,43.7,e
10491,10492,17,male,public,diploma,3.0,83.4,yes,>60 min,yes,online videos,60.1,56.4,41.6,54.7,e
10492,10493,14,other,public,high school,6.0,57.1,yes,>60 min,no,textbook,85.6,41.0,68.7,66.2,d
10493,10494,17,other,public,high school,5.4,76.8,yes,30-60 min,no,mixed,50.5,50.6,74.9,67.2,d
10494,10495,16,other,public,graduate,2.7,50.2,yes,<15 min,yes,online videos,30.3,37.4,48.6,39.1,f
10495,10496,15,female,private,high school,0.5,99.2,no,30-60 min,no,notes,35.6,41.4,52.6,34.3,f
10496,10497,17,other,private,diploma,5.3,51.8,yes,>60 min,yes,online videos,83.0,71.1,67.2,72.3,c
10497,10498,14,female,public,high school,4.7,87.7,yes,<15 min,yes,coaching,94.2,61.3,75.9,73.6,c
10498,10499,18,male,private,diploma,6.3,93.5,yes,<15 min,yes,textbook,87.1,88.5,61.3,83.8,c
10499,10500,18,female,public,phd,5.6,99.8,yes,15-30 min,no,coaching,92.5,82.3,74.6,85.0,c
10500,10501,14,male,private,diploma,2.4,82.5,yes,15-30 min,yes,notes,55.9,52.3,64.4,55.2,d
10501,10502,16,other,public,post graduate,6.0,80.3,yes,<15 min,yes,mixed,99.3,76.0,81.6,84.8,c
10502,10503,17,male,private,diploma,4.1,77.9,yes,<15 min,yes,group study,55.2,75.7,61.0,60.8,d
10503,10504,14,male,private,diploma,4.8,88.2,yes,15-30 min,yes,mixed,79.2,76.5,73.0,79.2,c
10504,10505,16,female,public,graduate,3.2,93.5,yes,15-30 min,no,textbook,49.9,82.7,65.8,71.9,c
10505,10506,15,female,public,no formal,6.4,76.4,yes,30-60 min,no,online videos,99.1,88.8,87.8,91.7,b
10506,10507,14,female,public,diploma,2.0,86.0,yes,>60 min,no,mixed,69.6,36.3,67.8,53.7,e
10507,10508,18,male,public,no formal,2.0,98.1,yes,>60 min,yes,notes,55.7,52.7,64.2,49.1,e
10508,10509,16,female,private,high school,2.3,55.6,yes,>60 min,yes,mixed,28.9,42.1,30.4,36.5,f
10509,10510,18,other,public,post graduate,6.4,79.5,yes,>60 min,yes,mixed,73.6,73.0,98.0,87.7,b
10510,10511,17,male,public,high school,6.0,53.4,yes,30-60 min,no,online videos,77.9,71.4,74.2,61.0,d
10511,10512,19,other,public,high school,2.5,71.8,yes,15-30 min,yes,group study,45.8,51.4,52.4,55.7,d
10512,10513,19,male,private,graduate,1.6,86.3,yes,<15 min,no,online videos,45.6,61.4,33.6,49.0,e
10513,10514,17,male,private,diploma,0.7,69.0,yes,15-30 min,yes,coaching,24.6,41.7,52.1,39.2,f
10514,10515,16,other,public,no formal,5.6,55.0,no,30-60 min,no,notes,74.6,63.0,57.9,70.0,d
10515,10516,16,male,public,phd,4.5,91.5,yes,>60 min,yes,textbook,80.7,57.7,47.1,62.7,d
10516,10517,18,female,public,phd,5.8,62.2,yes,<15 min,yes,notes,73.2,89.0,76.7,72.0,c
10517,10518,16,female,public,graduate,5.8,75.1,yes,15-30 min,no,notes,83.8,78.2,64.8,70.4,c
10518,10519,17,female,public,graduate,6.8,57.5,yes,15-30 min,no,online videos,60.6,72.6,82.8,69.7,d
10519,10520,15,female,private,post graduate,3.6,99.5,yes,15-30 min,no,notes,69.1,79.0,57.9,70.0,c
10520,10521,19,female,public,phd,6.7,69.1,yes,30-60 min,no,coaching,84.4,91.8,78.1,82.5,c
10521,10522,17,other,private,no formal,3.8,91.1,yes,<15 min,yes,notes,55.6,75.0,62.3,63.6,d
10522,10523,15,female,public,no formal,5.8,69.2,yes,<15 min,yes,mixed,61.2,87.1,82.7,70.8,c
10523,10524,17,female,public,high school,4.6,67.5,yes,<15 min,yes,group study,49.3,69.6,48.0,55.7,d
10524,10525,16,other,public,high school,7.4,62.0,yes,<15 min,no,mixed,90.5,100.0,90.3,93.0,b
10525,10526,14,female,public,phd,3.3,70.2,yes,<15 min,no,group study,56.1,57.2,29.9,61.4,d
10526,10527,19,other,public,graduate,5.7,93.8,yes,>60 min,no,online videos,92.1,73.5,79.1,79.2,c
10527,10528,19,other,private,post graduate,5.0,83.1,yes,<15 min,no,group study,58.6,100.0,57.4,80.1,c
10528,10529,19,other,private,post graduate,8.0,52.7,yes,15-30 min,yes,coaching,89.8,92.4,100.0,88.8,b
10529,10530,16,female,private,post graduate,1.1,77.1,yes,30-60 min,yes,mixed,17.3,30.1,34.3,33.0,f
10530,10531,15,female,public,phd,5.0,74.9,yes,>60 min,no,mixed,74.5,59.2,80.8,64.3,d
10531,10532,14,male,private,graduate,2.2,84.3,yes,30-60 min,no,textbook,41.2,53.8,43.1,49.0,e
10532,10533,18,male,private,post graduate,7.1,87.8,yes,<15 min,yes,group study,94.4,88.2,96.1,95.0,b
10533,10534,15,male,public,high school,6.5,78.3,yes,<15 min,no,notes,97.0,75.1,71.0,83.8,c
10534,10535,19,female,public,high school,5.5,93.8,yes,<15 min,yes,group study,70.8,89.3,86.1,87.4,b
10535,10536,19,male,private,graduate,4.1,82.1,yes,<15 min,yes,notes,70.1,59.1,59.1,56.6,d
10536,10537,14,male,public,phd,5.6,66.9,yes,<15 min,no,online videos,69.3,67.9,62.0,64.4,d
10537,10538,19,female,public,no formal,4.7,68.8,yes,15-30 min,yes,textbook,63.5,59.1,75.5,68.0,d
10538,10539,14,female,private,graduate,2.7,92.9,yes,>60 min,no,coaching,39.3,56.0,52.9,63.0,d
10539,10540,16,male,public,high school,6.6,63.0,yes,30-60 min,yes,coaching,90.9,81.4,92.6,72.2,c
10540,10541,16,female,public,phd,4.3,57.1,yes,>60 min,yes,group study,61.5,65.4,68.6,65.0,d
10541,10542,19,female,private,graduate,2.4,87.6,yes,30-60 min,yes,coaching,64.7,76.3,44.5,58.4,d
10542,10543,17,male,private,no formal,5.5,71.4,yes,<15 min,no,notes,67.6,67.6,65.7,66.0,d
10543,10544,19,male,private,no formal,0.6,61.3,yes,15-30 min,no,textbook,54.2,31.4,27.6,33.5,f
10544,10545,17,male,public,graduate,5.9,91.5,yes,15-30 min,yes,mixed,67.5,62.4,83.5,78.4,c
10545,10546,18,other,public,high school,4.0,59.2,yes,30-60 min,no,textbook,59.5,39.9,32.1,49.0,e
10546,10547,19,male,public,no formal,5.3,86.6,yes,>60 min,yes,coaching,100.0,76.6,84.9,85.7,b
10547,10548,19,male,public,no formal,1.7,67.0,yes,30-60 min,yes,coaching,20.0,34.4,50.3,31.9,f
10548,10549,16,male,public,no formal,5.9,85.6,yes,>60 min,no,notes,75.0,61.7,80.3,77.0,c
10549,10550,16,female,private,diploma,5.9,88.6,yes,<15 min,no,notes,82.9,80.3,60.8,79.4,c
10550,10551,19,other,public,post graduate,6.1,57.9,yes,15-30 min,no,coaching,81.9,76.4,76.3,74.5,c
10551,10552,18,male,public,phd,4.0,91.2,yes,>60 min,yes,textbook,82.6,63.4,74.6,76.9,c
10552,10553,19,other,public,graduate,5.3,80.9,yes,<15 min,yes,notes,83.4,70.5,80.6,72.8,c
10553,10554,17,male,public,phd,4.6,93.0,yes,>60 min,yes,group study,78.0,69.2,82.2,77.8,c
10554,10555,19,female,public,post graduate,2.2,51.6,yes,15-30 min,no,group study,39.9,37.8,39.8,35.9,f
10555,10556,18,male,public,no formal,0.7,87.8,yes,15-30 min,yes,group study,35.4,43.8,42.9,47.6,e
10556,10557,18,male,private,post graduate,3.6,99.3,yes,<15 min,yes,notes,65.0,87.4,56.4,75.2,c
10557,10558,15,female,public,high school,6.6,85.1,yes,30-60 min,yes,coaching,89.5,69.8,92.7,90.5,b
10558,10559,17,female,public,phd,2.9,95.9,yes,<15 min,no,online videos,54.4,70.5,47.0,57.9,d
10559,10560,18,other,private,phd,6.1,70.7,no,15-30 min,no,mixed,77.0,55.1,78.7,70.3,c
10560,10561,18,female,public,no formal,5.3,85.1,yes,30-60 min,yes,group study,55.6,82.2,64.2,74.2,c
10561,10562,19,male,public,high school,3.1,78.4,yes,>60 min,yes,group study,61.5,43.1,84.3,56.8,d
10562,10563,15,female,public,diploma,0.5,66.8,no,30-60 min,no,textbook,35.3,32.0,16.6,27.7,f
10563,10564,15,other,private,post graduate,3.7,81.2,yes,<15 min,no,textbook,35.5,67.0,60.4,57.7,d
10564,10565,19,female,private,graduate,3.4,68.0,yes,30-60 min,no,notes,66.4,45.3,29.4,49.7,e
10565,10566,19,female,private,no formal,1.5,97.5,yes,<15 min,no,coaching,74.1,59.4,73.5,54.4,e
10566,10567,15,female,private,graduate,6.6,89.9,yes,>60 min,yes,online videos,100.0,88.0,86.1,95.5,a
10567,10568,16,female,public,graduate,7.7,93.5,no,30-60 min,yes,mixed,97.0,100.0,100.0,99.2,a
10568,10569,19,other,public,phd,1.4,81.8,yes,30-60 min,yes,notes,45.4,39.1,53.3,48.2,e
10569,10570,15,female,private,high school,2.2,92.0,yes,<15 min,no,textbook,42.8,40.2,56.7,48.6,e
10570,10571,18,female,private,no formal,5.2,68.3,no,>60 min,no,notes,61.0,61.5,66.3,61.0,d
10571,10572,14,female,public,post graduate,7.6,83.1,yes,>60 min,no,coaching,85.5,97.9,88.4,90.0,b
10572,10573,15,female,private,post graduate,7.5,66.7,yes,30-60 min,no,notes,83.3,72.5,88.6,79.9,c
10573,10574,18,other,private,graduate,7.5,79.7,yes,>60 min,yes,group study,84.3,82.0,84.6,84.0,c
10574,10575,17,other,private,post graduate,3.8,53.6,yes,30-60 min,no,coaching,59.3,49.8,36.5,53.3,e
10575,10576,17,other,private,high school,7.9,89.6,yes,>60 min,yes,online videos,88.9,100.0,83.6,92.7,b
10576,10577,19,female,private,no formal,3.2,71.1,no,<15 min,yes,group study,46.3,65.5,67.2,56.5,d
10577,10578,15,other,private,diploma,1.2,99.2,yes,<15 min,no,mixed,63.4,42.1,59.6,51.6,e
10578,10579,17,male,private,phd,5.8,92.9,yes,15-30 min,yes,group study,63.6,44.4,57.3,73.6,c
10579,10580,17,male,public,graduate,4.7,80.7,yes,<15 min,no,notes,76.3,61.0,73.4,78.1,c
10580,10581,18,male,public,graduate,6.5,63.3,yes,30-60 min,yes,group study,67.7,83.1,58.5,69.3,d
10581,10582,15,female,private,phd,5.2,81.5,yes,>60 min,yes,textbook,66.1,81.5,64.0,65.1,d
10582,10583,17,other,public,high school,6.7,87.8,yes,30-60 min,no,textbook,95.3,92.5,93.5,96.5,a
10583,10584,16,male,private,diploma,3.1,73.6,yes,15-30 min,no,notes,45.1,45.9,49.5,48.7,e
10584,10585,17,male,private,post graduate,2.7,79.6,yes,30-60 min,no,group study,55.7,54.1,63.5,53.7,e
10585,10586,19,female,public,no formal,6.2,93.8,yes,30-60 min,no,notes,79.1,88.5,88.8,88.5,b
10586,10587,16,other,public,diploma,4.2,56.9,yes,<15 min,yes,textbook,46.0,60.5,42.7,48.1,e
10587,10588,18,male,public,graduate,1.8,75.0,yes,30-60 min,yes,notes,38.4,49.5,44.6,37.6,f
10588,10589,19,other,private,high school,3.3,93.3,yes,<15 min,yes,mixed,43.4,48.8,63.6,61.2,d
10589,10590,18,male,public,high school,6.5,69.6,yes,>60 min,yes,online videos,91.9,70.6,71.4,79.0,c
10590,10591,19,male,public,diploma,7.4,94.2,yes,<15 min,yes,textbook,100.0,100.0,90.9,99.5,a
10591,10592,17,female,public,phd,6.2,77.9,yes,>60 min,yes,textbook,92.7,100.0,85.0,86.5,b
10592,10593,15,other,private,diploma,5.9,70.1,yes,<15 min,no,mixed,71.7,80.0,68.1,75.6,c
10593,10594,19,other,public,phd,6.6,99.6,no,30-60 min,no,notes,82.6,88.2,75.1,86.0,b
10594,10595,17,male,private,post graduate,2.0,58.1,yes,<15 min,no,online videos,32.0,38.5,50.6,42.4,e
10595,10596,15,male,private,no formal,4.8,67.4,yes,30-60 min,yes,textbook,81.5,55.6,81.1,65.9,d
10596,10597,15,female,public,phd,5.0,61.0,yes,<15 min,yes,mixed,51.7,56.5,83.0,65.1,d
10597,10598,15,female,private,graduate,7.6,99.2,yes,>60 min,yes,mixed,100.0,92.1,99.0,100.0,a
10598,10599,19,male,public,graduate,0.6,57.5,yes,>60 min,yes,online videos,31.1,47.1,40.1,35.8,f
10599,10600,14,female,public,post graduate,7.8,56.0,no,15-30 min,yes,textbook,95.3,94.2,75.9,81.9,c
10600,10601,18,male,public,no formal,5.9,63.2,yes,<15 min,yes,notes,82.4,85.6,74.5,75.8,c
10601,10602,17,other,private,high school,0.7,80.4,yes,30-60 min,no,notes,52.2,37.8,34.3,43.4,e
10602,10603,14,male,private,post graduate,4.4,63.2,yes,<15 min,no,mixed,57.1,54.7,65.7,55.4,d
10603,10604,17,female,private,graduate,1.0,66.4,yes,>60 min,yes,group study,52.7,65.3,33.7,36.1,f
10604,10605,18,female,private,diploma,5.0,76.7,yes,<15 min,no,online videos,63.2,86.5,88.7,79.5,c
10605,10606,18,male,public,diploma,3.9,81.8,yes,>60 min,yes,notes,51.7,65.6,77.1,69.0,d
10606,10607,17,female,private,graduate,6.3,79.0,yes,30-60 min,no,textbook,57.2,62.2,75.5,72.6,c
10607,10608,16,male,private,diploma,4.8,80.7,yes,>60 min,yes,textbook,64.4,76.6,72.4,69.1,d
10608,10609,14,female,public,diploma,6.4,83.5,yes,>60 min,yes,group study,74.2,84.6,72.1,81.4,c
10609,10610,14,female,private,graduate,3.3,93.9,yes,30-60 min,no,mixed,66.3,63.9,61.9,71.6,c
10610,10611,16,male,private,high school,6.9,83.8,yes,<15 min,no,online videos,100.0,93.6,67.9,87.4,b
10611,10612,17,male,private,graduate,7.0,86.0,yes,15-30 min,yes,coaching,76.4,72.2,74.4,82.5,c
10612,10613,14,male,public,post graduate,5.4,69.8,yes,30-60 min,yes,group study,83.6,91.7,65.8,74.4,c
10613,10614,19,other,public,post graduate,2.5,97.2,yes,>60 min,no,notes,68.9,64.8,76.0,68.1,d
10614,10615,17,male,private,graduate,7.9,90.4,yes,30-60 min,no,mixed,100.0,100.0,100.0,100.0,a
10615,10616,15,other,public,diploma,6.6,79.1,yes,15-30 min,yes,coaching,80.8,90.7,76.1,77.1,c
10616,10617,19,female,private,graduate,6.9,72.4,no,15-30 min,no,coaching,95.0,84.6,95.7,91.4,b
10617,10618,15,other,private,post graduate,0.6,50.9,yes,15-30 min,no,textbook,17.7,25.1,10.3,20.5,f
10618,10619,19,other,private,high school,6.7,99.3,yes,30-60 min,yes,group study,78.2,100.0,84.5,87.4,b
10619,10620,15,male,public,diploma,2.1,57.1,no,<15 min,no,mixed,30.8,62.4,31.0,46.6,e
10620,10621,16,female,private,post graduate,4.3,75.5,yes,>60 min,yes,coaching,75.7,48.7,66.9,69.5,d
10621,10622,16,other,public,graduate,5.8,67.1,yes,30-60 min,no,online videos,99.4,85.7,78.7,80.6,c
10622,10623,19,male,private,diploma,3.6,66.3,yes,<15 min,no,coaching,53.3,73.3,46.1,58.7,d
10623,10624,15,female,public,high school,2.3,71.0,yes,30-60 min,yes,online videos,50.9,61.8,57.6,51.0,e
10624,10625,19,female,private,phd,4.3,78.6,yes,15-30 min,no,coaching,52.9,68.8,56.1,63.2,d
10625,10626,16,male,public,graduate,2.7,50.5,yes,30-60 min,yes,mixed,33.7,50.3,14.8,35.0,f
10626,10627,15,other,private,graduate,5.1,57.7,yes,15-30 min,no,notes,52.4,57.3,46.5,55.8,d
10627,10628,17,male,public,diploma,1.3,80.7,yes,30-60 min,no,online videos,30.5,66.2,43.2,37.2,f
10628,10629,18,other,private,post graduate,3.6,87.0,yes,<15 min,yes,group study,45.6,47.5,39.1,55.7,d
10629,10630,16,male,private,high school,4.9,83.8,yes,>60 min,no,group study,89.3,82.9,80.1,79.1,c
10630,10631,14,female,private,phd,7.9,99.5,yes,>60 min,no,mixed,100.0,94.8,91.2,100.0,a
10631,10632,16,female,public,no formal,4.2,52.4,yes,15-30 min,no,mixed,68.1,67.6,46.2,54.0,e
10632,10633,17,other,private,no formal,3.7,75.8,yes,>60 min,no,notes,65.9,58.8,48.8,57.5,d
10633,10634,14,other,private,graduate,7.9,70.9,yes,>60 min,yes,mixed,87.5,78.9,90.8,96.5,a
10634,10635,14,other,private,phd,7.4,59.9,yes,15-30 min,no,coaching,68.1,56.3,68.0,74.3,c
10635,10636,19,other,private,no formal,5.5,94.5,yes,30-60 min,no,notes,77.4,57.6,82.2,74.0,c
10636,10637,14,other,public,post graduate,4.6,57.2,yes,<15 min,yes,mixed,60.6,50.1,75.2,68.5,d
10637,10638,16,male,private,diploma,2.5,75.2,yes,>60 min,no,group study,57.5,50.5,50.8,42.6,e
10638,10639,18,other,public,no formal,5.2,59.6,no,30-60 min,no,group study,59.4,54.6,59.5,59.6,d
10639,10640,15,female,public,diploma,6.8,71.8,no,<15 min,no,mixed,66.8,77.8,74.1,75.8,c
10640,10641,16,female,private,graduate,7.9,89.5,yes,>60 min,yes,textbook,98.1,97.9,92.9,91.6,b
10641,10642,14,male,public,graduate,1.8,85.0,no,<15 min,no,group study,60.7,37.2,57.3,52.8,e
10642,10643,18,other,private,phd,2.6,85.0,yes,30-60 min,yes,online videos,65.3,56.2,60.7,60.8,d
10643,10644,17,male,private,phd,7.1,60.8,yes,<15 min,yes,group study,91.7,100.0,82.2,83.2,c
10644,10645,19,female,private,no formal,7.0,51.1,yes,<15 min,yes,group study,78.4,87.3,84.9,74.6,c
10645,10646,19,male,private,phd,5.9,86.0,yes,<15 min,yes,online videos,92.4,82.5,76.0,76.3,c
10646,10647,16,female,private,no formal,1.3,55.3,yes,<15 min,yes,coaching,35.5,29.9,26.6,24.9,f
10647,10648,14,female,public,phd,5.8,69.5,no,30-60 min,no,online videos,70.3,76.5,86.9,76.8,c
10648,10649,16,female,private,post graduate,4.0,92.2,yes,>60 min,no,coaching,66.1,63.0,92.0,73.0,c
10649,10650,14,female,private,phd,3.3,70.5,yes,>60 min,no,group study,61.4,80.2,55.1,62.6,d
10650,10651,17,other,public,no formal,2.4,73.3,yes,>60 min,no,online videos,49.2,31.7,46.6,49.3,e
10651,10652,14,other,private,no formal,2.9,97.9,yes,30-60 min,no,group study,51.5,43.3,66.9,58.4,d
10652,10653,19,female,public,phd,4.5,95.5,yes,15-30 min,no,coaching,59.1,70.1,73.0,69.0,d
10653,10654,17,other,public,high school,1.7,54.5,no,>60 min,yes,online videos,36.2,39.6,35.7,38.5,f
10654,10655,15,other,private,diploma,4.3,93.3,yes,<15 min,no,notes,55.4,77.8,85.0,62.0,d
10655,10656,19,male,private,high school,0.9,74.7,no,30-60 min,no,textbook,40.6,19.5,48.5,40.0,e
10656,10657,18,female,private,no formal,3.6,89.9,yes,<15 min,yes,group study,50.7,78.3,67.9,73.7,c
10657,10658,16,other,private,no formal,7.7,67.6,yes,30-60 min,no,notes,100.0,99.8,89.4,97.5,a
10658,10659,14,female,public,no formal,6.0,97.9,yes,15-30 min,no,online videos,85.1,87.9,90.9,88.5,b
10659,10660,16,male,private,phd,1.0,89.8,yes,<15 min,yes,notes,46.4,29.2,47.0,43.2,e
10660,10661,17,female,private,no formal,5.7,72.5,yes,>60 min,no,online videos,46.0,65.5,67.8,69.9,d
10661,10662,18,female,public,phd,2.0,68.0,yes,>60 min,yes,textbook,40.1,36.6,39.8,39.3,f
10662,10663,15,other,public,high school,4.1,60.6,yes,30-60 min,no,notes,52.0,77.7,57.2,53.5,e
10663,10664,18,female,public,graduate,2.7,63.8,yes,15-30 min,yes,group study,49.3,56.2,48.7,49.8,e
10664,10665,15,male,private,high school,7.5,72.1,yes,30-60 min,no,notes,83.9,70.1,82.1,82.0,c
10665,10666,15,male,public,phd,0.9,67.7,yes,>60 min,yes,notes,20.8,42.9,16.3,26.5,f
10666,10667,16,male,public,no formal,7.1,82.2,yes,>60 min,yes,coaching,100.0,100.0,100.0,98.0,a
10667,10668,14,male,public,post graduate,5.8,81.8,yes,15-30 min,yes,notes,47.3,73.0,64.9,74.1,c
10668,10669,16,other,public,phd,3.2,59.7,yes,30-60 min,yes,notes,53.2,49.8,64.5,50.5,e
10669,10670,16,male,public,diploma,7.1,63.0,yes,15-30 min,no,coaching,75.8,68.8,86.2,74.0,c
10670,10671,15,female,public,diploma,3.5,52.3,yes,30-60 min,yes,group study,59.5,45.8,40.4,44.1,e
10671,10672,18,male,private,no formal,5.7,69.1,yes,30-60 min,no,group study,75.7,78.3,87.3,72.9,c
10672,10673,15,female,private,phd,6.4,73.7,yes,<15 min,no,textbook,54.6,78.6,81.0,77.7,c
10673,10674,18,other,private,phd,2.6,55.3,yes,>60 min,yes,textbook,32.1,34.8,30.6,36.8,f
10674,10675,18,female,private,diploma,1.0,54.3,yes,30-60 min,no,notes,24.6,31.8,34.3,29.2,f
10675,10676,17,male,public,post graduate,7.0,63.4,yes,<15 min,yes,textbook,73.7,81.5,69.2,74.7,c
10676,10677,15,other,private,post graduate,2.2,74.6,yes,>60 min,yes,mixed,37.5,44.8,37.2,41.0,e
10677,10678,18,female,private,diploma,7.5,99.2,yes,>60 min,yes,group study,100.0,100.0,96.1,99.8,a
10678,10679,15,male,private,no formal,2.9,95.8,yes,30-60 min,yes,group study,48.7,49.6,62.8,58.2,d
10679,10680,15,other,public,no formal,3.6,69.9,yes,<15 min,no,coaching,75.0,65.5,61.6,59.0,d
10680,10681,19,other,private,phd,3.7,77.8,yes,30-60 min,yes,online videos,55.9,45.1,67.8,57.1,d
10681,10682,16,female,public,post graduate,4.0,78.0,yes,<15 min,yes,mixed,82.2,69.3,75.6,60.5,d
10682,10683,18,male,private,no formal,7.7,67.2,yes,>60 min,yes,coaching,71.3,68.9,89.5,84.8,c
10683,10684,14,female,private,post graduate,2.3,92.8,yes,<15 min,yes,online videos,53.8,69.5,69.1,58.0,d
10684,10685,17,female,private,phd,5.1,64.6,yes,30-60 min,yes,coaching,70.3,74.0,64.5,62.9,d
10685,10686,19,other,private,graduate,2.7,71.4,yes,30-60 min,yes,mixed,41.5,59.9,50.4,56.3,d
10686,10687,18,other,private,diploma,1.5,95.3,yes,30-60 min,yes,textbook,62.3,43.4,50.6,50.2,e
10687,10688,17,male,public,phd,2.7,67.3,no,30-60 min,yes,group study,48.2,45.9,50.0,46.7,e
10688,10689,19,female,public,phd,4.6,75.6,yes,15-30 min,yes,mixed,59.6,67.7,73.4,58.3,d
10689,10690,15,male,private,diploma,5.1,93.5,yes,>60 min,no,coaching,94.8,88.5,73.6,81.7,c
10690,10691,16,female,private,diploma,2.5,66.4,yes,>60 min,no,textbook,47.9,46.3,51.4,52.5,e
10691,10692,14,female,private,phd,7.9,98.1,yes,15-30 min,yes,textbook,94.3,96.0,100.0,100.0,a
10692,10693,18,female,private,phd,3.2,60.2,yes,>60 min,yes,coaching,41.7,71.2,53.2,45.8,e
10693,10694,18,female,private,graduate,6.7,84.2,yes,>60 min,yes,textbook,83.8,74.1,84.7,86.9,b
10694,10695,18,female,public,graduate,0.8,53.0,yes,15-30 min,yes,textbook,15.4,5.5,23.3,28.0,f
10695,10696,18,other,private,post graduate,5.7,76.9,yes,30-60 min,yes,mixed,78.8,54.4,66.3,74.9,c
10696,10697,14,female,public,high school,2.8,58.0,yes,<15 min,no,online videos,35.3,38.6,33.2,38.9,f
10697,10698,17,male,public,phd,4.5,81.4,yes,15-30 min,no,mixed,72.7,67.5,96.3,74.6,c
10698,10699,18,other,public,high school,6.8,80.8,yes,15-30 min,no,notes,83.6,83.6,83.9,85.3,b
10699,10700,15,female,public,post graduate,5.9,70.8,yes,30-60 min,no,notes,92.6,93.8,100.0,84.6,c
10700,10701,16,other,public,post graduate,3.2,96.2,yes,15-30 min,no,group study,73.1,89.0,73.0,70.0,c
10701,10702,19,other,private,high school,6.0,94.6,yes,<15 min,no,group study,82.5,79.6,73.3,77.8,c
